Polymer Number,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,REA,Generation,Gelation
1,200,0.1,0.2,0,0,0,0.5,0.2,K,21.04266599,0,0
2,200,0.1,0.2,0,0,0,0.55,0.15,0,22.41858117,0,0
3,200,0.1,0.2,0,0,0,0.6,0.1,0,26.18025751,0,0
4,200,0.1,0.2,0,0,0,0.65,0.05,0,26.49583439,0,1
5,200,0.1,0.2,0,0,0,0.7,0,0,26.09189599,0,1
6,200,0.1,0,0,0,0,0.5,0.4,0,13.32996718,0,0
7,200,0.1,0,0,0,0,0.55,0.35,0,11.46175208,0,0
8,200,0.1,0,0,0,0,0.6,0.3,0,9.511486998,0,0
9,200,0.1,0,0,0,0,0.65,0.25,0,25.19565766,0,0
10,200,0.1,0,0,0,0,0.7,0.2,0,30.43423378,0,0
11,200,0,0.3,0,0,0,0.5,0.2,0,4.847260793,0,0
12,200,0.05,0.25,0,0,0,0.5,0.2,0,6.374652865,0,0
13,200,0.1,0.2,0,0,0,0.5,0.2,0,32.11941429,0,0
14,200,0.15,0.15,0,0,0,0.5,0.2,0,24.89270386,0,0
15,200,0.2,0.1,0,0,0,0.5,0.2,0,15.36228225,0,0
16,200,0.25,0.05,0,0,0,0.5,0.2,0,12.57258268,0,0
17,200,0.3,0,0,0,0,0.5,0.2,0,22.3744004,0,0
18,200,0.1,0.2,0,0,0,0,0.7,0,7.763191113,0,0
19,200,0.1,0.2,0,0,0,0.05,0.65,0,8.135571825,0,0
20,200,0.1,0.2,0,0,0,0.1,0.6,0,10.31305226,0,0
21,200,0.1,0.2,0,0,0,0.15,0.55,0,11.73945973,0,0
22,200,0.1,0.2,0,0,0,0.2,0.5,0,8.975006312,0,0
23,200,0.1,0.2,0,0,0,0.25,0.45,0,8.318606413,0,0
24,200,0.1,0.2,0,0,0,0.3,0.4,0,8.003029538,0,0
25,200,0.1,0.2,0,0,0,0.35,0.35,0,13.10906337,0,0
26,200,0.1,0.2,0,0,0,0.4,0.3,0,17.00959354,0,0
27,200,0.090909091,0.181818182,0,0,0,0.409090909,0.318181818,0,10.43297147,0,0
28,200,0.1,0.2,0,0.5,0,0,0.2,0,10.72961373,0,0
29,200,0.1,0.2,0,0.55,0,0,0.15,0,9.511486998,0,0
30,200,0.1,0.2,0,0.6,0,0,0.1,0,7.517041151,0,0
31,200,0.1,0.2,0,0.65,0,0,0.05,0,5.876041404,0,1
32,200,0.1,0.2,0,0.7,0,0,0,0,4.664226206,0,1
33,200,0.1,0,0,0.5,0,0,0.4,0,5.162837667,0,0
34,200,0.1,0,0,0.55,0,0,0.35,0,6.286291341,0,0
35,200,0.1,0,0,0.6,0,0,0.3,0,6.797525877,0,0
36,200,0.1,0,0,0.65,0,0,0.25,0,6.677606665,0,0
37,200,0.1,0,0,0.7,0,0,0.2,0,5.314314567,0,0
38,200,0,0.3,0,0.5,0,0,0.2,0,5.188083817,0,1
39,200,0.05,0.25,0,0.5,0,0,0.2,0,5.800302954,0,0
40,200,0.1,0.2,0,0.5,0,0,0.2,0,3.711184044,0,0
41,200,0.15,0.15,0,0.5,0,0,0.2,0,5.124968442,0,0
42,200,0.2,0.1,0,0.5,0,0,0.2,0,6.229487503,0,0
43,200,0.25,0.05,0,0.5,0,0,0.2,0,6.109568291,0,0
44,200,0.3,0,0,0.5,0,0,0.2,0,6.273668266,0,0
45,200,0.1,0.2,0,0,0,0,0.7,0,5.049229992,0,0
46,200,0.1,0.2,0,0.05,0,0,0.65,0,5.661449129,0,0
47,200,0.1,0.2,0,0.1,0,0,0.6,0,5.301691492,0,0
48,200,0.1,0.2,0,0.15,0,0,0.55,0,2.164857359,0,0
49,200,0.1,0.2,0,0.2,0,0,0.5,0,2.840191871,0,0
50,200,0.1,0.2,0,0.25,0,0,0.45,0,3.566018682,0,0
51,200,0.1,0.2,0,0.3,0,0,0.4,0,4.670537743,0,0
52,200,0.1,0.2,0,0.35,0,0,0.35,0,5.522595304,0,0
53,200,0.1,0.2,0,0.4,0,0,0.3,0,7.908356476,0,0
54,200,0.090909091,0.181818182,0,0.409090909,0,0,0.318181818,0,8.369098712,0,0
55,200,0,0.2,0.1,0,0,0.5,0.2,0,1.266050642,0,0
56,200,0,0.2,0.1,0,0,0.55,0.15,0,1.158046322,0,0
57,200,0,0.2,0.1,0,0,0.6,0.1,0,1.338053522,0,0
58,200,0,0.2,0.1,0,0,0.65,0.05,0,1.524060962,0,0
59,200,0,0.2,0.1,0,0,0.7,0,0,1.320052802,0,0
60,200,0,0,0.1,0,0,0.5,0.4,0,0.888035521,0,0
61,200,0,0,0.1,0,0,0.55,0.35,0,0.684027361,0,0
62,200,0,0,0.1,0,0,0.6,0.3,0,0.798031921,0,0
63,200,0,0,0.1,0,0,0.65,0.25,0,1.986079443,0,0
64,200,0,0,0.1,0,0,0.7,0.2,0,3.402136085,0,0
