Polymer Number,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,REA,Generation,Gelation
1,200,0.1,0.2,0,0,0,0.5,0.2,0,1.759236858,0,0
2,200,0.1,0.2,0,0,0,0.55,0.15,0,1.178585007,0,0
3,200,0.1,0.2,0,0,0,0.6,0.1,0,1.513842325,0,0
4,200,0.1,0.2,0,0,0,0.65,0.05,0,0.711989769,0,1
5,200,0.1,0.2,0,0,0,0.7,0,0,0.718902292,0,1
6,200,0.1,0,0,0,0,0.5,0.4,0,0.760377424,0,0
7,200,0.1,0,0,0,0,0.55,0.35,0,0.57719559,0,0
8,200,0.1,0,0,0,0,0.6,0.3,0,0.805308817,0,0
9,200,0.1,0,0,0,0,0.65,0.25,0,1.306466664,0,0
10,200,0.1,0,0,0,0,0.7,0.2,0,2.039194,0,0
11,200,0,0.3,0,0,0,0.5,0.2,0,1.002315695,0,0
12,200,0.05,0.25,0,0,0,0.5,0.2,0,0.653233332,0,0
13,200,0.1,0.2,0,0,0,0.5,0.2,0,0.625583244,0,0
14,200,0.15,0.15,0,0,0,0.5,0.2,0,0.843327688,0,0
15,200,0.2,0.1,0,0,0,0.5,0.2,0,1.099091003,0,0
16,200,0.25,0.05,0,0,0,0.5,0.2,0,1.095634742,0,0
17,200,0.3,0,0,0,0,0.5,0.2,0,1.296097881,0,0
18,200,0.1,0.2,0,0,0,0,0.7,0,0.839871427,0,0
19,200,0.1,0.2,0,0,0,0.05,0.65,0,0.649777071,0,0
20,200,0.1,0.2,0,0,0,0.1,0.6,0,0.44240141,0,0
21,200,0.1,0.2,0,0,0,0.15,0.55,0,0.521895414,0,0
22,200,0.1,0.2,0,0,0,0.2,0.5,0,0.625583244,0,0
23,200,0.1,0.2,0,0,0,0.25,0.45,0,0.597933156,0,0
24,200,0.1,0.2,0,0,0,0.3,0.4,0,0.860608993,0,0
25,200,0.1,0.2,0,0,0,0.35,0.35,0,1.434348322,0,0
26,200,0.1,0.2,0,0,0,0.4,0.3,0,0.743096119,0,0
27,200,0.090909091,0.181818182,0,0,0,0.409090909,0.318181818,0,1.002315695,0,0
28,200,0.1,0.2,0,0.5,0,0,0.2,0,0.74655238,0,0
29,200,0.1,0.2,0,0.55,0,0,0.15,0,0.711989769,0,0
30,200,0.1,0.2,0,0.6,0,0,0.1,0,1.921681125,0,0
31,200,0.1,0.2,0,0.65,0,0,0.05,0,2.180900702,0,1
32,200,0.1,0.2,0,0.7,0,0,0,0,0.584108112,0,1
33,200,0.1,0,0,0.5,0,0,0.4,0,1.168216224,0,0
34,200,0.1,0,0,0.55,0,0,0.35,0,0.566826807,0,0
35,200,0.1,0,0,0.6,0,0,0.3,0,0.836415166,0,0
36,200,0.1,0,0,0.65,0,0,0.25,0,0.888259081,0,0
37,200,0.1,0,0,0.7,0,0,0.2,0,1.299554142,0,0
38,200,0,0.3,0,0.5,0,0,0.2,0,0.501157847,0,1
39,200,0.05,0.25,0,0.5,0,0,0.2,0,0.604845678,0,0
40,200,0.1,0.2,0,0.5,0,0,0.2,0,0.826046383,0,0
41,200,0.15,0.15,0,0.5,0,0,0.2,0,0.722358553,0,0
42,200,0.2,0.1,0,0.5,0,0,0.2,0,0.805308817,0,0
43,200,0.25,0.05,0,0.5,0,0,0.2,0,0.943559258,0,0
44,200,0.3,0,0,0.5,0,0,0.2,0,1.057615871,0,0
45,200,0.1,0.2,0,0,0,0,0.7,0,0.774202468,0,0
46,200,0.1,0.2,0,0.05,0,0,0.65,0,0.736183597,0,0
47,200,0.1,0.2,0,0.1,0,0,0.6,0,0.777658729,0,0
48,200,0.1,0.2,0,0.15,0,0,0.55,0,0.604845678,0,0
49,200,0.1,0.2,0,0.2,0,0,0.5,0,0.95047178,0,0
50,200,0.1,0.2,0,0.25,0,0,0.45,0,1.085265959,0,0
51,200,0.1,0.2,0,0.3,0,0,0.4,0,0.677427159,0,0
52,200,0.1,0.2,0,0.35,0,0,0.35,0,1.095634742,0,0
53,200,0.1,0.2,0,0.4,0,0,0.3,0,0.864065254,0,0
54,200,0.090909091,0.181818182,0,0.409090909,0,0,0.318181818,0,1.005771956,0,0
55,200,0,0.2,0.1,0,0,0.5,0.2,0,1.086538462,0,0
56,200,0,0.2,0.1,0,0,0.55,0.15,0,1.743589744,0,0
57,200,0,0.2,0.1,0,0,0.6,0.1,0,6.756410256,0,0
58,200,0,0.2,0.1,0,0,0.65,0.05,0,12.83974359,0,0
59,200,0,0.2,0.1,0,0,0.7,0,0,12.74679487,0,0
60,200,0,0,0.1,0,0,0.5,0.4,0,1.016025641,0,0
61,200,0,0,0.1,0,0,0.55,0.35,0,1.025641026,0,0
62,200,0,0,0.1,0,0,0.6,0.3,0,1.176282051,0,0
63,200,0,0,0.1,0,0,0.65,0.25,0,0.794871795,0,0
64,200,0,0,0.1,0,0,0.7,0.2,0,1.878205128,0,0
65,200,0,0.3,0,0,0,0.5,0.2,0,3.291666667,0,0
66,200,0,0.25,0.05,0,0,0.5,0.2,0,2.227564103,0,0
67,200,0,0.2,0.1,0,0,0.5,0.2,0,2.804487179,0,0
68,200,0,0.15,0.15,0,0,0.5,0.2,0,1.948717949,0,0
69,200,0,0.1,0.2,0,0,0.5,0.2,0,2.41025641,0,0
70,200,0,0.05,0.25,0,0,0.5,0.2,0,2.003205128,0,0
71,200,0,0,0.3,0,0,0.5,0.2,0,1.246794872,0,0
72,200,0,0.2,0.1,0,0,0,0.7,0,1.926282051,0,0
73,200,0,0.2,0.1,0,0,0.05,0.65,0,1.051282051,0,0
74,200,0,0.2,0.1,0,0,0.1,0.6,0,1.208333333,0,0
75,200,0,0.2,0.1,0,0,0.15,0.55,0,1.599358974,0,0
76,200,0,0.2,0.1,0,0,0.2,0.5,0,1.368589744,0,0
77,200,0,0.2,0.1,0,0,0.25,0.45,0,1.689102564,0,0
78,200,0,0.2,0.1,0,0,0.3,0.4,0,2.022435897,0,0
79,200,0,0.2,0.1,0,0,0.35,0.35,0,0.91025641,0,0
80,200,0,0.2,0.1,0,0,0.4,0.3,0,2.522435897,0,0
81,200,0,0.181818182,0.090909091,0,0,0.409090909,0.318181818,0,1.733974359,0,0
82,200,0,0.2,0.1,0.5,0,0,0.2,0,3.016025641,0,0
83,200,0,0.2,0.1,0.55,0,0,0.15,0,3.169871795,0,0
84,200,0,0.2,0.1,0.6,0,0,0.1,0,2.378205128,0,0
