Polymer Number,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,REA,Generation,Gelation
1,200,0.1,0.2,0,0,0,0.5,0.2,0,-4.803715234,0,0
2,200,0.1,0.2,0,0,0,0.55,0.15,0,-4.911967972,0,0
3,200,0.1,0.2,0,0,0,0.6,0.1,0,1.114101092,0,0
4,200,0.1,0.2,0,0,0,0.65,0.05,0,26.84216841,0,1
5,200,0.1,0.2,0,0,0,0.7,0,0,11.4612586,0,1
6,200,0.1,0,0,0,0,0.5,0.4,0,-3.504682382,0,0
7,200,0.1,0,0,0,0,0.55,0.35,0,-3.964756517,0,0
8,200,0.1,0,0,0,0,0.6,0.3,0,-3.748251042,0,0
9,200,0.1,0,0,0,0,0.65,0.25,0,-2.918313386,0,0
10,200,0.1,0,0,0,0,0.7,0.2,0,-4.650357189,0,0
11,200,0,0.3,0,0,0,0.5,0.2,0,3.297197968,0,0
12,200,0.05,0.25,0,0,0,0.5,0.2,0,-4.96609434,0,0
13,200,0.1,0.2,0,0,0,0.5,0.2,0,-3.946714394,0,0
14,200,0.15,0.15,0,0,0,0.5,0.2,0,-4.361683222,0,0
15,200,0.2,0.1,0,0,0,0.5,0.2,0,-3.107755677,0,0
16,200,0.25,0.05,0,0,0,0.5,0.2,0,-4.325598976,0,0
17,200,0.3,0,0,0,0,0.5,0.2,0,-3.008524001,0,0
18,200,0.1,0.2,0,0,0,0,0.7,0,-4.424830652,0,0
19,200,0.1,0.2,0,0,0,0.05,0.65,0,-3.206987353,0,0
20,200,0.1,0.2,0,0,0,0.1,0.6,0,-3.279155845,0,0
21,200,0.1,0.2,0,0,0,0.15,0.55,0,-3.423492829,0,0
22,200,0.1,0.2,0,0,0,0.2,0.5,0,-5.128473447,0,0
23,200,0.1,0.2,0,0,0,0.25,0.45,0,-5.471273783,0,0
24,200,0.1,0.2,0,0,0,0.3,0.4,0,-5.363021045,0,0
25,200,0.1,0.2,0,0,0,0.35,0.35,0,-5.218684062,0,0
26,200,0.1,0.2,0,0,0,0.4,0.3,0,-5.525400152,0,0
27,200,0.090909091,0.181818182,0,0,0,0.409090909,0.318181818,0,-5.245747246,0,0
28,200,0.1,0.2,0,0.5,0,0,0.2,0,62.47536123,0,0
29,200,0.1,0.2,0,0.55,0,0,0.15,0,64.34272095,0,0
30,200,0.1,0.2,0,0.6,0,0,0.1,0,12.57084916,0,0
31,200,0.1,0.2,0,0.65,0,0,0.05,0,19.42685588,0,1
32,200,0.1,0.2,0,0.7,0,0,0,0,20.6627413,0,1
33,200,0.1,0,0,0.5,0,0,0.4,0,-5.14651557,0,0
34,200,0.1,0,0,0.55,0,0,0.35,0,-5.426168476,0,0
35,200,0.1,0,0,0.6,0,0,0.3,0,-5.056304955,0,0
36,200,0.1,0,0,0.65,0,0,0.25,0,-3.712166796,0,0
37,200,0.1,0,0,0.7,0,0,0.2,0,1.249417014,0,0
38,200,0,0.3,0,0.5,0,0,0.2,0,-3.206987353,0,1
39,200,0.05,0.25,0,0.5,0,0,0.2,0,7.257443954,0,0
40,200,0.1,0.2,0,0.5,0,0,0.2,0,14.02324006,0,0
41,200,0.15,0.15,0,0.5,0,0,0.2,0,-2.801039587,0,0
42,200,0.2,0.1,0,0.5,0,0,0.2,0,1.520048858,0,0
43,200,0.25,0.05,0,0.5,0,0,0.2,0,-0.843469248,0,0
44,200,0.3,0,0,0.5,0,0,0.2,0,-0.211994945,0,0
45,200,0.1,0.2,0,0,0,0,0.7,0,-2.945376571,0,0
46,200,0.1,0.2,0,0.05,0,0,0.65,0,-3.946714394,0,0
47,200,0.1,0.2,0,0.1,0,0,0.6,0,-4.199304115,0,0
48,200,0.1,0.2,0,0.15,0,0,0.55,0,-3.61293512,0,0
49,200,0.1,0.2,0,0.2,0,0,0.5,0,-1.700470088,0,0
50,200,0.1,0.2,0,0.25,0,0,0.45,0,-5.642673951,0,0
51,200,0.1,0.2,0,0.3,0,0,0.4,0,-5.850158365,0,0
52,200,0.1,0.2,0,0.35,0,0,0.35,0,-5.011199648,0,0
53,200,0.1,0.2,0,0.4,0,0,0.3,0,-4.650357189,0,0
54,200,0.090909091,0.181818182,0,0.409090909,0,0,0.318181818,0,-4.948052218,0,0
55,200,0,0.2,0.1,0,0,0.5,0.2,0,0.965643601,0,0
56,200,0,0.2,0.1,0,0,0.55,0.15,0,0.54036015,0,0
57,200,0,0.2,0.1,0,0,0.6,0.1,0,1.110740308,0,0
58,200,0,0.2,0.1,0,0,0.65,0.05,0,1.27084702,0,0
59,200,0,0.2,0.1,0,0,0.7,0,0,1.420947061,0,0
60,200,0,0,0.1,0,0,0.5,0.4,0,0.500333472,0,0
61,200,0,0,0.1,0,0,0.55,0.35,0,3.067044185,0,0
62,200,0,0,0.1,0,0,0.6,0.3,0,0.695463526,0,0
63,200,0,0,0.1,0,0,0.65,0.25,0,0.225150063,0,0
64,200,0,0,0.1,0,0,0.7,0.2,0,-0.795530221,0,0
65,200,0,0.3,0,0,0,0.5,0.2,0,2.946964152,0,0
66,200,0,0.25,0.05,0,0,0.5,0.2,0,0.865576907,0,0
67,200,0,0.2,0.1,0,0,0.5,0.2,0,-1.556037099,0,0
68,200,0,0.15,0.15,0,0,0.5,0.2,0,-1.556037099,0,0
69,200,0,0.1,0.2,0,0,0.5,0.2,0,0.905603585,0,0
70,200,0,0.05,0.25,0,0,0.5,0.2,0,0.380253439,0,0
71,200,0,0,0.3,0,0,0.5,0.2,0,11.36757649,0,0
72,200,0,0.2,0.1,0,0,0,0.7,0,7.975315548,0,0
73,200,0,0.2,0.1,0,0,0.05,0.65,0,4.022681117,0,0
74,200,0,0.2,0.1,0,0,0.1,0.6,0,3.607404335,0,0
75,200,0,0.2,0.1,0,0,0.15,0.55,0,4.618077949,0,0
76,200,0,0.2,0.1,0,0,0.2,0.5,0,5.698798249,0,0
77,200,0,0.2,0.1,0,0,0.25,0.45,0,5.643761567,0,0
78,200,0,0.2,0.1,0,0,0.3,0.4,0,2.986990829,0,0
79,200,0,0.2,0.1,0,0,0.35,0.35,0,0.765510213,0,0
80,200,0,0.2,0.1,0,0,0.4,0.3,0,0.785523551,0,0
81,200,0,0.181818182,0.090909091,0,0,0.409090909,0.318181818,0,0.945630263,0,0
82,200,0,0.2,0.1,0.5,0,0,0.2,0,-0.070046686,0,0
83,200,0,0.2,0.1,0.55,0,0,0.15,0,0.235156732,0,0
84,200,0,0.2,0.1,0.6,0,0,0.1,0,0.510340142,0,0
85,200,0,0.2,0.1,0.65,0,0,0.05,0,1.015676949,0,0
86,200,0,0.2,0.1,0.7,0,0,0,0,39.90159441,0,0
87,200,0,0,0.1,0.5,0,0,0.4,0,0.340226761,0,0
88,200,0,0,0.1,0.55,0,0,0.35,0,-0.120080033,0,0
89,200,0,0,0.1,0.6,0,0,0.3,0,-0.100066694,0,0
90,200,0,0,0.1,0.65,0,0,0.25,0,0.080053356,0,0
91,200,0,0,0.1,0.7,0,0,0.2,0,0.145096707,0,0
92,200,0,0.3,0,0.5,0,0,0.2,0,-0.220146728,0,1
93,200,0,0.25,0.05,0.5,0,0,0.2,0,-1.35590371,0,0
94,200,0,0.2,0.1,0.5,0,0,0.2,0,0.310206753,0,0
95,200,0,0.15,0.15,0.5,0,0,0.2,0,0.09506336,0,0
96,200,0,0.1,0.2,0.5,0,0,0.2,0,0.165110046,0,0
97,200,0,0.05,0.25,0.5,0,0,0.2,0,0.325216757,0,0
98,200,0,0,0.3,0.5,0,0,0.2,0,0.520346811,0,0
99,200,0,0.2,0.1,0,0,0,0.7,0,0.130086703,0,0
100,200,0,0.2,0.1,0.05,0,0,0.65,0,0.040026678,0,0
101,200,0,0.2,0.1,0.1,0,0,0.6,0,1.030686953,0,0
102,200,0,0.2,0.1,0.15,0,0,0.55,0,1.210807003,0,0
103,200,0,0.2,0.1,0.2,0,0,0.5,0,-0.335223426,0,0
104,200,0,0.2,0.1,0.25,0,0,0.45,0,-0.600400167,0,0
105,200,0,0.2,0.1,0.3,0,0,0.4,0,-0.665443518,0,0
106,200,0,0.2,0.1,0.35,0,0,0.35,0,-0.410273447,0,0
107,200,0,0.2,0.1,0.4,0,0,0.3,0,-0.365243435,0,0
108,200,0,0.181818182,0.090909091,0.409090909,0,0,0.318181818,0,-0.410273447,0,0
109,200,0.05,0,0,0,0,0.65,0.3,0,0.197757601,0,0
110,200,0.1,0,0,0,0,0.6,0.3,0,-1.136676297,0,0
111,200,0.15,0,0,0,0,0.55,0.3,0,-1.790136195,0,0
112,200,0.2,0,0,0,0,0.5,0.3,0,-1.563144862,0,0
113,200,0.25,0,0,0,0,0.45,0.3,0,-1.879557023,0,0
114,200,0.3,0,0,0,0,0.4,0.3,0,-1.52187371,0,0
115,200,0.35,0,0,0,0,0.35,0.3,0,-0.373159994,0,0
116,200,0.4,0,0,0,0,0.3,0.3,0,-0.895927913,0,0
117,200,0.45,0,0,0,0,0.25,0.3,0,-3.399711102,0,0
118,200,0.5,0,0,0,0,0.2,0.3,0,-1.136676297,0,0
119,200,0.05,0,0,0.65,0,0,0.3,0,-1.618173064,0,0
120,200,0.1,0,0,0.6,0,0,0.3,0,-0.696450681,0,0
121,200,0.15,0,0,0.55,0,0,0.3,0,-1.473724034,0,0
122,200,0.2,0,0,0.5,0,0,0.3,0,-1.239854175,0,0
123,200,0.25,0,0,0.45,0,0,0.3,0,-1.37742468,0,0
124,200,0.3,0,0,0.4,0,0,0.3,0,-1.590658963,0,0
125,200,0.35,0,0,0.35,0,0,0.3,0,-1.239854175,0,0
126,200,0.4,0,0,0.3,0,0,0.3,0,-0.717086257,0,0
127,200,0.45,0,0,0.25,0,0,0.3,0,-0.868413812,0,0
128,200,0.5,0,0,0.2,0,0,0.3,0,-0.558880176,0,0
129,200,0,0,0,0,0.05,0.65,0.3,0,-0.517609025,0,0
130,200,0,0,0,0,0.1,0.6,0.3,0,-0.950956115,0,0
131,200,0,0,0,0,0.15,0.55,0.3,0,-1.301760902,0,0
132,200,0,0,0,0,0.2,0.5,0.3,0,-1.129797771,0,0
133,200,0,0,0,0,0.25,0.45,0.3,0,-1.480602559,0,0
134,200,0,0,0,0,0.3,0.4,0.3,0,-1.136676297,0,0
135,200,0,0,0,0,0.35,0.35,0.3,0,2.70154079,0,0
136,200,0,0,0,0,0.4,0.3,0.3,0,4.758219838,0,0
137,200,0,0,0,0,0.45,0.25,0.3,0,-0.627665429,0,0
138,200,0,0,0,0,0.5,0.2,0.3,0,1.29832164,0,0
139,200,0,0,0,0.65,0.05,0,0.3,0,-1.631930114,0,0
140,200,0,0,0,0.6,0.1,0,0.3,0,-1.446209933,0,0
141,200,0,0,0,0.55,0.15,0,0.3,0,0.239028752,0,0
142,200,0,0,0,0.5,0.2,0,0.3,0,5.968840281,0,0
143,200,0,0,0,0.45,0.25,0,0.3,0,15.66756087,0,0
144,200,0,0,0,0.4,0.3,0,0.3,0,20.53067822,0,0
145,200,0,0,0,0.35,0.35,0,0.3,0,16.56864768,0,0
146,200,0,0,0,0.3,0.4,0,0.3,0,10.72190122,0,0
147,200,0,0,0,0.25,0.45,0,0.3,0,7.963612601,0,0
148,200,0,0,0,0.2,0.5,0,0.3,0,-0.015476682,0,0
149,200,0,0,0,0,0,0.65,0.3,0.05,-1.776379144,0,0
150,200,0,0,0,0,0,0.6,0.3,0.1,-1.50811666,0,0
151,200,0,0,0,0,0,0.55,0.3,0.15,-0.68269363,0,0
152,200,0,0,0,0,0,0.5,0.3,0.2,-0.063626359,0,0
153,200,0,0,0,0,0,0.45,0.3,0.25,-0.717086257,0,0
154,200,0,0,0,0,0,0.4,0.3,0.3,-1.143554822,0,0
155,200,0,0,0,0,0,0.35,0.3,0.35,-0.476337873,0,0
156,200,0,0,0,0,0,0.3,0.3,0.4,0.920002751,0,0
157,200,0,0,0,0,0,0.25,0.3,0.45,-0.565758701,0,0
158,200,0,0,0,0,0,0.2,0.3,0.5,1.477163296,0,0
159,200,0,0,0,0.65,0,0,0.3,0.05,41.7234145,0,0
160,200,0,0,0,0.6,0,0,0.3,0.1,44.71557298,0,0
161,200,0,0,0,0.55,0,0,0.3,0.15,31.11672857,0,0
162,200,0,0,0,0.5,0,0,0.3,0.2,14.95219425,0,0
163,200,0,0,0,0.45,0,0,0.3,0.25,5.563007291,0,0
164,200,0,0,0,0.4,0,0,0.3,0.3,0.362842207,0,0
165,200,0,0,0,0.35,0,0,0.3,0.35,-0.985348741,0,0
166,200,0,0,0,0.3,0,0,0.3,0.4,-0.111776035,0,0
167,200,0,0,0,0.25,0,0,0.3,0.45,-0.95783464,0,0
168,200,0,0,0,0.2,0,0,0.3,0.5,-1.033498418,0,0
169,100,0.1,0.2,0,0,0,0.5,0.2,0,1.495886313,0,0
170,100,0.1,0.2,0,0,0,0.55,0.15,0,-0.095192765,0,0
171,100,0.1,0.2,0,0,0,0.6,0.1,0,4.270075474,0,0
172,100,0.1,0.2,0,0,0,0.65,0.05,0,14.85687088,0,0
173,100,0.1,0.2,0,0,0,0.7,0,0,3.080165907,0,0
174,100,0.1,0,0,0,0,0.5,0.4,0,-0.006799483,0,0
175,100,0.1,0,0,0,0,0.55,0.35,0,-0.469164344,0,0
176,100,0.1,0,0,0,0,0.6,0.3,0,0.033997416,0,0
177,100,0.1,0,0,0,0,0.65,0.25,0,1.91065479,0,0
178,100,0.1,0,0,0,0,0.7,0.2,0,0.156388115,0,0
179,100,0,0.3,0,0,0,0.5,0.2,0,1.244305433,0,0
180,100,0.05,0.25,0,0,0,0.5,0.2,0,-0.836336438,0,0
181,100,0.1,0.2,0,0,0,0.5,0.2,0,-0.523560209,0,0
182,100,0.15,0.15,0,0,0,0.5,0.2,0,0.02039845,0,0
183,100,0.2,0.1,0,0,0,0.5,0.2,0,0.455565377,0,0
184,100,0.25,0.05,0,0,0,0.5,0.2,0,0.047596383,0,0
185,100,0.3,0,0,0,0,0.5,0.2,0,1.393894064,0,0
186,100,0.1,0.2,0,0,0,0,0.7,0,-0.856734888,0,0
187,100,0.1,0.2,0,0,0,0.05,0.65,0,-0.081593799,0,0
188,100,0.1,0.2,0,0,0,0.1,0.6,0,-0.054395866,0,0
189,100,0.1,0.2,0,0,0,0.15,0.55,0,-0.061195349,0,0
190,100,0.1,0.2,0,0,0,0.2,0.5,0,-0.428367444,0,0
191,100,0.1,0.2,0,0,0,0.25,0.45,0,0.108791732,0,0
192,100,0.1,0.2,0,0,0,0.3,0.4,0,-0.550758142,0,0
193,100,0.1,0.2,0,0,0,0.35,0.35,0,0.333174679,0,0
194,100,0.1,0.2,0,0,0,0.4,0.3,0,-0.720745223,0,0
195,100,0.090909091,0.181818182,0,0,0,0.409090909,0.318181818,0,-0.673148841,0,0
196,100,0.1,0.2,0,0.5,0,0,0.2,0,0.428367444,0,0
197,100,0.1,0.2,0,0.55,0,0,0.15,0,5.711565921,0,0
198,100,0.1,0.2,0,0.6,0,0,0.1,0,0.428367444,0,0
199,100,0.1,0.2,0,0.65,0,0,0.05,0,0.802339022,0,0
200,100,0.1,0.2,0,0.7,0,0,0,0,0.883932821,0,0
201,100,0.1,0,0,0.5,0,0,0.4,0,-0.183586047,0,0
202,100,0.1,0,0,0.55,0,0,0.35,0,-0.707146257,0,0
203,100,0.1,0,0,0.6,0,0,0.3,0,-0.108791732,0,0
204,100,0.1,0,0,0.65,0,0,0.25,0,1.210308017,0,0
205,100,0.1,0,0,0.7,0,0,0.2,0,4.57605222,0,0
206,100,0,0.3,0,0.5,0,0,0.2,0,1.006323519,0,1
207,100,0.05,0.25,0,0.5,0,0,0.2,0,3.454137486,0,0
208,100,0.1,0.2,0,0.5,0,0,0.2,0,0.659549874,0,0
209,100,0.15,0.15,0,0.5,0,0,0.2,0,9.274495138,0,0
210,100,0.2,0.1,0,0.5,0,0,0.2,0,6.663493574,0,0
211,100,0.25,0.05,0,0.5,0,0,0.2,0,2.964574692,0,0
212,100,0.3,0,0,0.5,0,0,0.2,0,3.732916298,0,0
213,100,0.1,0.2,0,0,0,0,0.7,0,0.611953492,0,0
214,100,0.1,0.2,0,0.05,0,0,0.65,0,-0.639151424,0,0
215,100,0.1,0.2,0,0.1,0,0,0.6,0,-0.047596383,0,0
216,100,0.1,0.2,0,0.15,0,0,0.55,0,1.325899232,0,0
217,100,0.1,0.2,0,0.2,0,0,0.5,0,3.671720949,0,0
218,100,0.1,0.2,0,0.25,0,0,0.45,0,-0.448765894,0,0
219,100,0.1,0.2,0,0.3,0,0,0.4,0,-0.768341606,0,0
220,100,0.1,0.2,0,0.35,0,0,0.35,0,-0.292377779,0,0
221,100,0.1,0.2,0,0.4,0,0,0.3,0,-0.074794316,0,0
222,100,0.090909091,0.181818182,0,0.409090909,0,0,0.318181818,0,-0.333174679,0,0
223,100,0,0.2,0.1,0,0,0.5,0.2,0,-2.180281219,0,0
224,100,0,0.2,0.1,0,0,0.55,0.15,0,-1.623702712,0,0
225,100,0,0.2,0.1,0,0,0.6,0.1,0,-1.100602611,0,0
226,100,0,0.2,0.1,0,0,0.65,0.05,0,-0.560763308,0,0
227,100,0,0.2,0.1,0,0,0.7,0,0,-0.230164044,0,0
228,100,0,0,0.1,0,0,0.5,0.4,0,-2.858218949,0,0
229,100,0,0,0.1,0,0,0.55,0.35,0,-2.661533311,0,0
230,100,0,0,0.1,0,0,0.6,0.3,0,-2.44810847,0,0
231,100,0,0,0.1,0,0,0.65,0.25,0,-2.891697355,0,0
232,100,0,0,0.1,0,0,0.7,0.2,0,-2.611315701,0,0
233,100,0,0.3,0,0,0,0.5,0.2,0,7.302477402,0,0
234,100,0,0.25,0.05,0,0,0.5,0.2,0,10.48292601,0,0
235,100,0,0.2,0.1,0,0,0.5,0.2,0,1.686474724,0,0
236,100,0,0.15,0.15,0,0,0.5,0.2,0,-0.397556076,0,0
237,100,0,0.1,0.2,0,0,0.5,0.2,0,2.686642116,0,0
238,100,0,0.05,0.25,0,0,0.5,0.2,0,4.84599933,0,0
239,100,0,0,0.3,0,0,0.5,0.2,0,19.44258453,0,0
240,100,0,0.2,0.1,0,0,0,0.7,0,8.980582524,0,0
241,100,0,0.2,0.1,0,0,0.05,0.65,0,18.7646468,0,0
242,100,0,0.2,0.1,0,0,0.1,0.6,0,20.61432876,0,0
243,100,0,0.2,0.1,0,0,0.15,0.55,0,17.88583863,0,0
244,100,0,0.2,0.1,0,0,0.2,0.5,0,7.854871108,0,0
245,100,0,0.2,0.1,0,0,0.25,0.45,0,10.68379645,0,0
246,100,0,0.2,0.1,0,0,0.3,0.4,0,8.988952126,0,0
247,100,0,0.2,0.1,0,0,0.35,0.35,0,10.77586207,0,0
248,100,0,0.2,0.1,0,0,0.4,0.3,0,1.887345162,0,0
249,100,0,0.181818182,0.090909091,0,0,0.409090909,0.318181818,0,1.000167392,0,0
250,100,0,0.2,0.1,0.5,0,0,0.2,0,0.72815534,0,0
251,100,0,0.2,0.1,0.55,0,0,0.15,0,1.694844325,0,0
252,100,0,0.2,0.1,0.6,0,0,0.1,0,3.640776699,0,0
253,100,0,0.2,0.1,0.65,0,0,0.05,0,3.695179109,0,0
254,100,0,0.2,0.1,0.7,0,0,0,0,0.995982591,0,0
255,100,0,0,0.1,0.5,0,0,0.4,0,-2.523434884,0,0
256,100,0,0,0.1,0.55,0,0,0.35,0,-1.950117174,0,0
257,100,0,0,0.1,0.6,0,0,0.3,0,-1.364245062,0,0
258,100,0,0,0.1,0.65,0,0,0.25,0,2.925175762,0,0
259,100,0,0,0.1,0.7,0,0,0.2,0,27.26397723,0,0
260,100,0,0.3,0,0.5,0,0,0.2,0,0.175761634,0,0
261,100,0,0.25,0.05,0.5,0,0,0.2,0,-0.272012052,0,0
262,100,0,0.2,0.1,0.5,0,0,0.2,0,-1.339136257,0,0
263,100,0,0.15,0.15,0.5,0,0,0.2,0,1.337143473,0,0
264,100,0,0.1,0.2,0.5,0,0,0.2,0,1.924839597,0,0
265,100,0,0.05,0.25,0.5,0,0,0.2,0,2.167466437,0,0
266,100,0,0,0.3,0.5,0,0,0.2,0,0.986682482,0,0
267,100,0,0.2,0.1,0,0,0,0.7,0,8.26548768,0,0
268,100,0,0.2,0.1,0.05,0,0,0.65,0,-0.129400981,0,0
269,100,0,0.2,0.1,0.1,0,0,0.6,0,0.393594651,0,0
270,100,0,0.2,0.1,0.15,0,0,0.55,0,3.197282579,0,0
271,100,0,0.2,0.1,0.2,0,0,0.5,0,4.378066534,0,0
272,100,0,0.2,0.1,0.25,0,0,0.45,0,0.296543915,0,0
273,100,0,0.2,0.1,0.3,0,0,0.4,0,-0.431336604,0,0
274,100,0,0.2,0.1,0.35,0,0,0.35,0,-0.447511727,0,0
275,100,0,0.2,0.1,0.4,0,0,0.3,0,-0.587696123,0,0
276,100,0,0.181818182,0.090909091,0.409090909,0,0,0.318181818,0,-0.52838734,0,0
277,100,0.05,0,0,0,0,0.65,0.3,0,0.215668302,0,0
278,100,0.1,0,0,0,0,0.6,0.3,0,0.204884887,0,0
279,100,0.15,0,0,0,0,0.55,0.3,0,-0.587696123,0,0
280,100,0.2,0,0,0,0,0.5,0.3,0,0.032350245,0,0
281,100,0.25,0,0,0,0,0.45,0.3,0,0.156359519,0,0
282,100,0.3,0,0,0,0,0.4,0.3,0,0.053917076,0,0
283,100,0.35,0,0,0,0,0.35,0.3,0,0.318110746,0,0
284,100,0.4,0,0,0,0,0.3,0.3,0,0.458295142,0,0
285,100,0.45,0,0,0,0,0.25,0.3,0,-0.032350245,0,0
286,100,0.5,0,0,0,0,0.2,0.3,0,0.388202944,0,0
287,100,0.05,0,0,0.65,0,0,0.3,0,1.827788861,0,0
288,100,0.1,0,0,0.6,0,0,0.3,0,1.078341511,0,0
289,100,0.15,0,0,0.55,0,0,0.3,0,0.711705397,0,0
290,100,0.2,0,0,0.5,0,0,0.3,0,0.884240039,0,0
291,100,0.25,0,0,0.45,0,0,0.3,0,1.089124926,0,0
292,100,0.3,0,0,0.4,0,0,0.3,0,0.576912708,0,0
293,100,0.35,0,0,0.35,0,0,0.3,0,0.210276595,0,0
294,100,0.4,0,0,0.3,0,0,0.3,0,0.134792689,0,0
295,100,0.45,0,0,0.25,0,0,0.3,0,-0.339677576,0,0
296,100,0.5,0,0,0.2,0,0,0.3,0,1.876314229,0,0
297,100,0,0,0,0,0.05,0.65,0.3,0,3.536960155,0,0
298,100,0,0,0,0,0.1,0.6,0.3,0,8.012077425,0,0
299,100,0,0,0,0,0.15,0.55,0.3,0,0.684746859,0,0
300,100,0,0,0,0,0.2,0.5,0.3,0,2.016498625,0,0
301,100,0,0,0,0,0.25,0.45,0.3,0,1.806222031,0,0
302,100,0,0,0,0,0.3,0.4,0.3,0,0.803364426,0,0
303,100,0,0,0,0,0.35,0.35,0.3,0,4.4966841,0,0
304,100,0,0,0,0,0.4,0.3,0.3,0,1.25626786,0,0
305,100,0,0,0,0,0.45,0.25,0.3,0,3.477651372,0,0
306,100,0,0,0,0,0.5,0.2,0.3,0,6.2813393,0,0
307,100,0,0,0,0.65,0.05,0,0.3,0,0,0,0
308,100,0,0,0,0.6,0.1,0,0.3,0,1.223917615,0,0
309,100,0,0,0,0.55,0.15,0,0.3,0,3.736453335,0,0
310,100,0,0,0,0.5,0.2,0,0.3,0,5.893136356,0,0
311,100,0,0,0,0.45,0.25,0,0.3,0,6.74502615,0,0
312,100,0,0,0,0.4,0.3,0,0.3,0,5.909311479,0,0
313,100,0,0,0,0.35,0.35,0,0.3,0,7.354289103,0,0
314,100,0,0,0,0.3,0.4,0,0.3,0,5.407882676,0,0
315,100,0,0,0,0.25,0.45,0,0.3,0,3.98986359,0,0
316,100,0,0,0,0.2,0.5,0,0.3,0,1.180783954,0,0
317,100,0,0,0,0,0,0.65,0.3,0.05,0.102442444,0,0
318,100,0,0,0,0,0,0.6,0.3,0.1,0.070092198,0,0
319,100,0,0,0,0,0,0.55,0.3,0.15,0.145576104,0,0
320,100,0,0,0,0,0,0.5,0.3,0.2,1.045991265,0,0
321,100,0,0,0,0,0,0.45,0.3,0.25,7.208712999,0,0
322,100,0,0,0,0,0,0.4,0.3,0.3,1.27783469,0,0
323,100,0,0,0,0,0,0.35,0.3,0.35,1.504286408,0,0
324,100,0,0,0,0,0,0.3,0.3,0.4,2.658111824,0,0
325,100,0,0,0,0,0,0.25,0.3,0.45,3.030139645,0,0
